# ----------------------------------------
# All Web Site Data
# Audience Overview
# 20160720-20190121
# ----------------------------------------

Day Index,Users
7/20/16,0
7/21/16,7
7/22/16,4
7/23/16,3
7/24/16,3
7/25/16,8
7/26/16,7
7/27/16,8
7/28/16,8
7/29/16,9
7/30/16,5
7/31/16,3
8/1/16,4
8/2/16,4
8/3/16,3
8/4/16,8
8/5/16,4
8/6/16,8
8/7/16,4
8/8/16,40
8/9/16,6
8/10/16,5
8/11/16,3
8/12/16,2
8/13/16,0
8/14/16,9
8/15/16,4
8/16/16,4
8/17/16,3
8/18/16,1
8/19/16,9
8/20/16,3
8/21/16,3
8/22/16,11
8/23/16,8
8/24/16,9
8/25/16,12
8/26/16,2
8/27/16,4
8/28/16,2
8/29/16,6
8/30/16,5
8/31/16,13
9/1/16,10
9/2/16,15
9/3/16,9
9/4/16,4
9/5/16,8
9/6/16,5
9/7/16,6
9/8/16,9
9/9/16,6
9/10/16,5
9/11/16,4
9/12/16,4
9/13/16,8
9/14/16,7
9/15/16,7
9/16/16,6
9/17/16,2
9/18/16,2
9/19/16,11
9/20/16,12
9/21/16,13
9/22/16,6
9/23/16,5
9/24/16,1
9/25/16,1
9/26/16,7
9/27/16,2
9/28/16,8
9/29/16,11
9/30/16,6
10/1/16,3
10/2/16,5
10/3/16,4
10/4/16,7
10/5/16,5
10/6/16,5
10/7/16,6
10/8/16,5
10/9/16,5
10/10/16,8
10/11/16,5
10/12/16,6
10/13/16,32
10/14/16,5
10/15/16,7
10/16/16,4
10/17/16,8
10/18/16,9
10/19/16,15
10/20/16,16
10/21/16,11
10/22/16,2
10/23/16,3
10/24/16,8
10/25/16,8
10/26/16,5
10/27/16,14
10/28/16,18
10/29/16,1
10/30/16,5
10/31/16,6
11/1/16,6
11/2/16,11
11/3/16,10
11/4/16,9
11/5/16,12
11/6/16,2
11/7/16,8
11/8/16,14
11/9/16,11
11/10/16,5
11/11/16,6
11/12/16,40
11/13/16,15
11/14/16,8
11/15/16,8
11/16/16,17
11/17/16,15
11/18/16,24
11/19/16,6
11/20/16,6
11/21/16,15
11/22/16,10
11/23/16,9
11/24/16,22
11/25/16,9
11/26/16,13
11/27/16,16
11/28/16,7
11/29/16,15
11/30/16,8
12/1/16,12
12/2/16,9
12/3/16,7
12/4/16,4
12/5/16,23
12/6/16,4
12/7/16,3
12/8/16,3
12/9/16,9
12/10/16,2
12/11/16,5
12/12/16,7
12/13/16,3
12/14/16,11
12/15/16,6
12/16/16,5
12/17/16,2
12/18/16,5
12/19/16,8
12/20/16,5
12/21/16,4
12/22/16,6
12/23/16,2
12/24/16,5
12/25/16,5
12/26/16,14
12/27/16,12
12/28/16,3
12/29/16,11
12/30/16,3
12/31/16,2
1/1/17,2
1/2/17,2
1/3/17,16
1/4/17,3
1/5/17,6
1/6/17,4
1/7/17,2
1/8/17,1
1/9/17,13
1/10/17,2
1/11/17,3
1/12/17,4
1/13/17,4
1/14/17,0
1/15/17,3
1/16/17,8
1/17/17,7
1/18/17,8
1/19/17,4
1/20/17,5
1/21/17,2
1/22/17,1
1/23/17,16
1/24/17,6
1/25/17,4
1/26/17,10
1/27/17,8
1/28/17,1
1/29/17,4
1/30/17,5
1/31/17,7
2/1/17,6
2/2/17,9
2/3/17,7
2/4/17,0
2/5/17,5
2/6/17,6
2/7/17,13
2/8/17,7
2/9/17,4
2/10/17,7
2/11/17,4
2/12/17,1
2/13/17,6
2/14/17,6
2/15/17,10
2/16/17,10
2/17/17,7
2/18/17,0
2/19/17,4
2/20/17,9
2/21/17,8
2/22/17,5
2/23/17,13
2/24/17,9
2/25/17,5
2/26/17,4
2/27/17,30
2/28/17,16
3/1/17,16
3/2/17,13
3/3/17,6
3/4/17,4
3/5/17,4
3/6/17,8
3/7/17,16
3/8/17,5
3/9/17,7
3/10/17,8
3/11/17,3
3/12/17,9
3/13/17,5
3/14/17,6
3/15/17,7
3/16/17,5
3/17/17,5
3/18/17,4
3/19/17,3
3/20/17,4
3/21/17,12
3/22/17,7
3/23/17,7
3/24/17,6
3/25/17,5
3/26/17,4
3/27/17,9
3/28/17,6
3/29/17,13
3/30/17,5
3/31/17,9
4/1/17,2
4/2/17,4
4/3/17,12
4/4/17,9
4/5/17,7
4/6/17,8
4/7/17,13
4/8/17,6
4/9/17,3
4/10/17,15
4/11/17,6
4/12/17,9
4/13/17,3
4/14/17,3
4/15/17,1
4/16/17,3
4/17/17,6
4/18/17,10
4/19/17,4
4/20/17,6
4/21/17,3
4/22/17,3
4/23/17,5
4/24/17,16
4/25/17,4
4/26/17,10
4/27/17,12
4/28/17,5
4/29/17,1
4/30/17,3
5/1/17,4
5/2/17,10
5/3/17,12
5/4/17,8
5/5/17,15
5/6/17,3
5/7/17,2
5/8/17,11
5/9/17,9
5/10/17,6
5/11/17,14
5/12/17,10
5/13/17,1
5/14/17,4
5/15/17,8
5/16/17,6
5/17/17,9
5/18/17,16
5/19/17,10
5/20/17,7
5/21/17,4
5/22/17,31
5/23/17,15
5/24/17,17
5/25/17,11
5/26/17,4
5/27/17,4
5/28/17,7
5/29/17,7
5/30/17,9
5/31/17,8
6/1/17,7
6/2/17,3
6/3/17,4
6/4/17,4
6/5/17,9
6/6/17,8
6/7/17,7
6/8/17,5
6/9/17,6
6/10/17,6
6/11/17,6
6/12/17,13
6/13/17,8
6/14/17,8
6/15/17,10
6/16/17,6
6/17/17,4
6/18/17,4
6/19/17,6
6/20/17,12
6/21/17,5
6/22/17,6
6/23/17,5
6/24/17,2
6/25/17,6
6/26/17,10
6/27/17,7
6/28/17,9
6/29/17,6
6/30/17,5
7/1/17,5
7/2/17,3
7/3/17,6
7/4/17,13
7/5/17,11
7/6/17,10
7/7/17,8
7/8/17,1
7/9/17,5
7/10/17,6
7/11/17,8
7/12/17,6
7/13/17,4
7/14/17,4
7/15/17,7
7/16/17,4
7/17/17,8
7/18/17,6
7/19/17,9
7/20/17,5
7/21/17,8
7/22/17,5
7/23/17,2
7/24/17,4
7/25/17,9
7/26/17,14
7/27/17,5
7/28/17,5
7/29/17,0
7/30/17,0
7/31/17,5
8/1/17,19
8/2/17,11
8/3/17,7
8/4/17,5
8/5/17,11
8/6/17,1
8/7/17,4
8/8/17,3
8/9/17,6
8/10/17,5
8/11/17,8
8/12/17,6
8/13/17,1
8/14/17,2
8/15/17,2
8/16/17,8
8/17/17,3
8/18/17,12
8/19/17,9
8/20/17,1
8/21/17,6
8/22/17,11
8/23/17,11
8/24/17,10
8/25/17,10
8/26/17,13
8/27/17,5
8/28/17,6
8/29/17,1
8/30/17,10
8/31/17,10
9/1/17,9
9/2/17,0
9/3/17,6
9/4/17,7
9/5/17,8
9/6/17,4
9/7/17,5
9/8/17,6
9/9/17,3
9/10/17,0
9/11/17,13
9/12/17,13
9/13/17,8
9/14/17,5
9/15/17,8
9/16/17,5
9/17/17,3
9/18/17,26
9/19/17,17
9/20/17,7
9/21/17,5
9/22/17,5
9/23/17,0
9/24/17,4
9/25/17,11
9/26/17,6
9/27/17,11
9/28/17,10
9/29/17,11
9/30/17,10
10/1/17,4
10/2/17,12
10/3/17,8
10/4/17,12
10/5/17,12
10/6/17,12
10/7/17,3
10/8/17,10
10/9/17,15
10/10/17,10
10/11/17,8
10/12/17,12
10/13/17,7
10/14/17,0
10/15/17,5
10/16/17,3
10/17/17,8
10/18/17,11
10/19/17,13
10/20/17,13
10/21/17,3
10/22/17,3
10/23/17,10
10/24/17,15
10/25/17,11
10/26/17,10
10/27/17,2
10/28/17,4
10/29/17,4
10/30/17,9
10/31/17,9
11/1/17,9
11/2/17,5
11/3/17,9
11/4/17,6
11/5/17,7
11/6/17,20
11/7/17,12
11/8/17,9
11/9/17,13
11/10/17,5
11/11/17,5
11/12/17,6
11/13/17,14
11/14/17,9
11/15/17,19
11/16/17,7
11/17/17,6
11/18/17,3
11/19/17,4
11/20/17,7
11/21/17,8
11/22/17,9
11/23/17,4
11/24/17,4
11/25/17,7
11/26/17,5
11/27/17,7
11/28/17,10
11/29/17,14
11/30/17,11
12/1/17,6
12/2/17,1
12/3/17,1
12/4/17,6
12/5/17,8
12/6/17,4
12/7/17,10
12/8/17,4
12/9/17,3
12/10/17,3
12/11/17,3
12/12/17,7
12/13/17,7
12/14/17,7
12/15/17,6
12/16/17,3
12/17/17,2
12/18/17,6
12/19/17,5
12/20/17,6
12/21/17,6
12/22/17,5
12/23/17,7
12/24/17,5
12/25/17,1
12/26/17,7
12/27/17,7
12/28/17,5
12/29/17,7
12/30/17,4
12/31/17,2
1/1/18,3
1/2/18,8
1/3/18,12
1/4/18,3
1/5/18,5
1/6/18,5
1/7/18,1
1/8/18,9
1/9/18,5
1/10/18,5
1/11/18,8
1/12/18,7
1/13/18,7
1/14/18,3
1/15/18,5
1/16/18,11
1/17/18,9
1/18/18,10
1/19/18,9
1/20/18,4
1/21/18,4
1/22/18,9
1/23/18,7
1/24/18,12
1/25/18,13
1/26/18,7
1/27/18,3
1/28/18,9
1/29/18,8
1/30/18,5
1/31/18,7
2/1/18,7
2/2/18,3
2/3/18,4
2/4/18,6
2/5/18,13
2/6/18,10
2/7/18,13
2/8/18,10
2/9/18,2
2/10/18,1
2/11/18,9
2/12/18,8
2/13/18,11
2/14/18,9
2/15/18,11
2/16/18,4
2/17/18,2
2/18/18,4
2/19/18,7
2/20/18,5
2/21/18,11
2/22/18,13
2/23/18,11
2/24/18,3
2/25/18,1
2/26/18,4
2/27/18,11
2/28/18,6
3/1/18,13
3/2/18,11
3/3/18,5
3/4/18,6
3/5/18,9
3/6/18,9
3/7/18,6
3/8/18,8
3/9/18,13
3/10/18,7
3/11/18,2
3/12/18,7
3/13/18,9
3/14/18,11
3/15/18,5
3/16/18,4
3/17/18,3
3/18/18,3
3/19/18,11
3/20/18,10
3/21/18,7
3/22/18,4
3/23/18,6
3/24/18,3
3/25/18,3
3/26/18,19
3/27/18,6
3/28/18,6
3/29/18,9
3/30/18,3
3/31/18,4
4/1/18,1
4/2/18,2
4/3/18,7
4/4/18,10
4/5/18,8
4/6/18,4
4/7/18,4
4/8/18,7
4/9/18,1
4/10/18,4
4/11/18,4
4/12/18,4
4/13/18,3
4/14/18,2
4/15/18,4
4/16/18,3
4/17/18,0
4/18/18,3
4/19/18,2
4/20/18,8
4/21/18,5
4/22/18,2
4/23/18,5
4/24/18,4
4/25/18,8
4/26/18,5
4/27/18,4
4/28/18,1
4/29/18,1
4/30/18,2
5/1/18,4
5/2/18,9
5/3/18,8
5/4/18,2
5/5/18,7
5/6/18,5
5/7/18,7
5/8/18,23
5/9/18,12
5/10/18,9
5/11/18,6
5/12/18,10
5/13/18,6
5/14/18,4
5/15/18,5
5/16/18,10
5/17/18,6
5/18/18,46
5/19/18,14
5/20/18,6
5/21/18,12
5/22/18,7
5/23/18,6
5/24/18,10
5/25/18,17
5/26/18,7
5/27/18,5
5/28/18,3
5/29/18,6
5/30/18,3
5/31/18,11
6/1/18,29
6/2/18,8
6/3/18,5
6/4/18,6
6/5/18,8
6/6/18,4
6/7/18,7
6/8/18,20
6/9/18,24
6/10/18,2
6/11/18,23
6/12/18,19
6/13/18,16
6/14/18,14
6/15/18,18
6/16/18,2
6/17/18,6
6/18/18,15
6/19/18,10
6/20/18,44
6/21/18,5
6/22/18,8
6/23/18,2
6/24/18,2
6/25/18,28
6/26/18,30
6/27/18,14
6/28/18,6
6/29/18,9
6/30/18,6
7/1/18,1
7/2/18,11
7/3/18,7
7/4/18,15
7/5/18,6
7/6/18,18
7/7/18,5
7/8/18,8
7/9/18,31
7/10/18,25
7/11/18,18
7/12/18,16
7/13/18,13
7/14/18,4
7/15/18,5
7/16/18,10
7/17/18,13
7/18/18,9
7/19/18,7
7/20/18,8
7/21/18,2
7/22/18,4
7/23/18,16
7/24/18,6
7/25/18,11
7/26/18,8
7/27/18,15
7/28/18,6
7/29/18,0
7/30/18,13
7/31/18,48
8/1/18,12
8/2/18,24
8/3/18,6
8/4/18,3
8/5/18,11
8/6/18,13
8/7/18,71
8/8/18,26
8/9/18,19
8/10/18,12
8/11/18,8
8/12/18,9
8/13/18,6
8/14/18,2
8/15/18,8
8/16/18,31
8/17/18,60
8/18/18,2
8/19/18,4
8/20/18,11
8/21/18,7
8/22/18,13
8/23/18,4
8/24/18,7
8/25/18,1
8/26/18,0
8/27/18,77
8/28/18,45
8/29/18,7
8/30/18,6
8/31/18,36
9/1/18,2
9/2/18,4
9/3/18,8
9/4/18,26
9/5/18,25
9/6/18,20
9/7/18,9
9/8/18,4
9/9/18,1
9/10/18,10
9/11/18,14
9/12/18,11
9/13/18,8
9/14/18,6
9/15/18,4
9/16/18,5
9/17/18,4
9/18/18,23
9/19/18,23
9/20/18,12
9/21/18,3
9/22/18,2
9/23/18,6
9/24/18,9
9/25/18,9
9/26/18,7
9/27/18,17
9/28/18,10
9/29/18,12
9/30/18,13
10/1/18,56
10/2/18,58
10/3/18,35
10/4/18,22
10/5/18,18
10/6/18,15
10/7/18,18
10/8/18,27
10/9/18,24
10/10/18,15
10/11/18,34
10/12/18,25
10/13/18,9
10/14/18,10
10/15/18,24
10/16/18,35
10/17/18,17
10/18/18,18
10/19/18,19
10/20/18,3
10/21/18,10
10/22/18,21
10/23/18,17
10/24/18,37
10/25/18,56
10/26/18,27
10/27/18,13
10/28/18,7
10/29/18,36
10/30/18,22
10/31/18,28
11/1/18,18
11/2/18,27
11/3/18,19
11/4/18,15
11/5/18,25
11/6/18,22
11/7/18,17
11/8/18,18
11/9/18,22
11/10/18,21
11/11/18,17
11/12/18,24
11/13/18,17
11/14/18,6
11/15/18,20
11/16/18,20
11/17/18,11
11/18/18,23
11/19/18,23
11/20/18,30
11/21/18,30
11/22/18,25
11/23/18,20
11/24/18,32
11/25/18,7
11/26/18,26
11/27/18,19
11/28/18,20
11/29/18,36
11/30/18,14
12/1/18,22
12/2/18,14
12/3/18,30
12/4/18,59
12/5/18,22
12/6/18,16
12/7/18,9
12/8/18,11
12/9/18,20
12/10/18,8
12/11/18,13
12/12/18,18
12/13/18,7
12/14/18,22
12/15/18,5
12/16/18,5
12/17/18,11
12/18/18,18
12/19/18,18
12/20/18,14
12/21/18,13
12/22/18,5
12/23/18,4
12/24/18,3
12/25/18,6
12/26/18,6
12/27/18,6
12/28/18,7
12/29/18,7
12/30/18,10
12/31/18,4
1/1/19,4
1/2/19,19
1/3/19,11
1/4/19,13
1/5/19,4
1/6/19,4
1/7/19,14
1/8/19,24
1/9/19,7
1/10/19,9
1/11/19,8
1/12/19,8
1/13/19,6
1/14/19,31
1/15/19,33
1/16/19,26
1/17/19,33
1/18/19,18
1/19/19,17
1/20/19,13
1/21/19,25
,"8,576"
